,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.last_updated,platform
0,825,Tether,USDT,tether,29744,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",,80090716164.04959,83312055007.80098,3,,,2022-03-16T22:04:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,1.0004780741681656,74266716953.4645,35.0039,0.00679262,0.01316481,0.01999807,0.00090125,-0.00753523,-0.00192266,80129005466.55751,4.4039,83351884349.2,2022-03-16T22:04:00.000Z,
1,1839,BNB,BNB,bnb,754,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'moonriver-ecosystem', 'bnb-chain']",165116760.0,165116760.89,165116760.89,4,,,2022-03-16T22:04:00.000Z,,,,,,384.5104939258301,1797224372.1124275,26.7412,-0.33620176,3.05503295,-1.90871201,-4.12287421,-22.3697024,-27.63712692,63489127285.24708,3.4888,63489126943.03,2022-03-16T22:04:00.000Z,
2,3408,USD Coin,USDC,usd-coin,3264,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain']",,52277640895.48089,52277640895.48089,5,,,2022-03-16T22:04:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.9999299685194812,5361577820.711122,48.3405,0.01067778,0.02953557,-0.05740322,-0.01772489,-0.01334946,-0.17489465,52273979814.89095,2.873,52273979814.89,2022-03-16T22:04:00.000Z,
3,52,XRP,XRP,xrp,689,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'binance-chain', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,48046106688.0,99989680089.0,6,,,2022-03-16T22:04:00.000Z,,,,,,0.7846641935661541,2436994945.8503504,26.3497,-0.49732999,2.03753078,2.84976165,-1.722071,0.10215161,-3.49107752,37700059558.332924,2.072,78466419356.62,2022-03-16T22:04:00.000Z,
4,4172,Terra,LUNA,terra-luna,175,2019-07-26T00:00:00.000Z,"['cosmos-ecosystem', 'store-of-value', 'defi', 'payments', 'coinbase-ventures-portfolio', 'binance-labs-portfolio', 'solana-ecosystem', 'arrington-xrp-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'pantera-capital-portfolio', 'terra-ecosystem']",,369119245.14056545,766749592.127081,7,,,2022-03-16T22:04:00.000Z,,,,,,89.089320496929,3197605633.7200055,6.2181,-0.73336072,0.13536682,-9.83929979,67.73920003,2.20858063,32.77754033,32884582731.91234,1.8073,68309200153.9,2022-03-16T22:04:00.000Z,
5,2010,Cardano,ADA,cardano,391,2017-10-01T00:00:00.000Z,"['mineable', 'dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'bnb-chain']",45000000000.0,33700516977.486,34201243285.461,8,,,2022-03-16T22:04:00.000Z,,,,,,0.8292723095274844,1210638893.1370902,41.2989,-0.07670093,3.11690055,-1.57652007,-20.3666735,-36.65655145,-34.37875056,27946905546.190014,1.5357,37317253928.74,2022-03-16T22:04:00.000Z,
6,5426,Solana,SOL,solana,268,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio']",,323086069.57296115,511616946.142289,9,,,2022-03-16T22:04:00.000Z,,,,,,86.06844573001813,2340689380.6709604,39.2962,-0.43274568,2.52081686,-1.1753592,-10.03594337,-41.97509132,-52.70879646,27807515845.165268,1.5281,44034075363.61,2022-03-16T22:04:00.000Z,
7,5805,Avalanche,AVAX,avalanche,210,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain']",,266671768.35140935,395891289.9134107,10,,,2022-03-16T22:04:00.000Z,,,,,,73.53841369072555,1166497710.2795386,8.512,-0.35695996,3.7438413,-4.37317589,-9.3468683,-21.06447862,-28.76216083,19610618820.663273,1.0776,29113217454.21,2022-03-16T22:04:00.000Z,
8,6636,Polkadot,DOT,polkadot-new,314,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain']",,987579314.957085,1103303471.382273,11,904869778.0,17257350752.072006,2022-03-16T22:04:00.000Z,,,,,,19.07164010960261,1183773910.3006902,66.5844,-0.34987402,6.38092782,7.8490724,2.71525578,-31.69717938,-27.56673161,18834757274.549408,1.0352,21041806737.88,2022-03-16T22:04:00.000Z,
9,4687,Binance USD,BUSD,binance-usd,3187,2019-09-20T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'binance-chain', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain']",,17815600282.079254,17815600282.079254,12,,,2022-03-16T22:04:00.000Z,1839.0,BNB Beacon Chain (BEP2),BNB,bnb,BUSD-BD1,1.0006384481860644,6360101331.814779,26.5073,-0.00649394,-0.00615773,0.18345423,0.07450796,-0.02588807,0.12539803,17826974619.762997,0.9796,17826974619.76,2022-03-16T22:04:00.000Z,
10,74,Dogecoin,DOGE,dogecoin,456,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,132670764299.89409,132670764299.89409,13,,,2022-03-16T22:04:00.000Z,,,,,,0.11636180371564941,534345477.6883464,27.8763,0.17582685,2.6728227,-3.91948309,-19.91410672,-37.69353238,-33.63950764,15437809434.269464,0.8485,15437809434.27,2022-03-16T22:04:00.000Z,
11,7129,TerraUSD,UST,terrausd,318,2020-09-21T00:00:00.000Z,"['cosmos-ecosystem', 'stablecoin', 'terra-ecosystem', 'injective-ecosystem', 'bnb-chain']",,14974907906.249119,14974907906.249119,14,,,2022-03-16T22:04:00.000Z,,,,,,1.0055308520433595,671381345.3958921,7.6426,0.32342583,0.25068216,-0.02626973,0.57323893,0.60771319,0.3436968,15057731906.241516,0.8274,15057731906.24,2022-03-16T22:04:00.000Z,
12,5994,Shiba Inu,SHIB,shiba-inu,317,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,549063278876301.94,589735030408322.8,15,,,2022-03-16T22:04:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2.2385225489594648e-05,832966214.0897613,23.1481,-0.6666946,2.66172809,-5.31603902,-24.09353177,-27.65555744,-32.57566349,12290905305.70221,0.6755,13201351634.8,2022-03-16T22:04:00.000Z,
